Summary,Issue Type,Project,Priority,Labels,Original estimate,Description,Parent
WP4BD-004: Implement Stage 2 - Transform to WP_Post,Story,KAN,High,"data-loading,epic-2",2h,"Transform Backdrop nodes into real WordPress WP_Post objects.

**Acceptance Criteria:**
- Load real WP_Post class from wordpress-4.9/wp-includes/class-wp-post.php
- Transform each node to WP_Post object with all 21 properties
- Handle missing data gracefully (empty body, no alias, etc.)
- Log transformation success/failure
- Show sample data (title, ID, content length)

**Expected State After:**
Debug shows: ""Created 10 WP_Post objects"". Can see: ID, post_title, content length for each. Verify titles match Backdrop node titles.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (update Stage 2)

**Dependencies:**
WP4BD-003

**Test:**
Debug Level 3 shows post titles matching what you see in Backdrop admin",Epic 2: Data Loading
WP4BD-005: Implement Stage 3 - Populate WP_Query,Story,KAN,High,"data-loading,epic-2",1h,"Create real WordPress WP_Query object and populate with our posts.

**Acceptance Criteria:**
- Load real WP_Query class from wordpress-4.9/wp-includes/class-wp-query.php
- Create WP_Query instance
- Set posts array, post_count, current_post
- Set conditional flags (is_home, is_single, etc.)
- Set global variables: $wp_query, $wp_the_query, $post
- Log all key properties

**Expected State After:**
Debug shows: ""$wp_query created with 10 posts"". Can see: is_home=true, current_post=-1. Globals are set correctly.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (update Stage 3)

**Dependencies:**
WP4BD-004

**Test:**
Debug shows $wp_query properties match expected values",Epic 2: Data Loading
WP4BD-006: Implement Stage 4 - Load WordPress Core,Story,KAN,High,"wordpress-integration,epic-3",2h,"Load minimal WordPress core files needed for theme rendering.

**Acceptance Criteria:**
- Define WordPress constants (ABSPATH, WPINC, WP_CONTENT_DIR)
- Load ~10 core WordPress files (query.php, post.php, etc.)
- Handle file loading errors gracefully
- Log which files loaded and their sizes
- Verify no fatal errors

**Expected State After:**
Debug shows: ""Loaded 10 WordPress files (450KB total)"". WordPress functions are available (the_title, the_content, etc.). No PHP errors.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (update Stage 4)

**Dependencies:**
WP4BD-005

**Test:**
var_dump(function_exists('the_title')); // Should output: bool(true)",Epic 3: WordPress Integration
WP4BD-007: Implement Stage 5 - Test The Loop,Story,KAN,High,"wordpress-integration,epic-3",1h,"Test that WordPress's Loop functions work with our data.

**Acceptance Criteria:**
- Call have_posts() and log result
- Call the_post() and log state changes
- Verify $wp_query->current_post advances correctly
- Verify global $post is set
- Test wp_reset_postdata()
- Log 3 iterations of the loop

**Expected State After:**
Debug shows: ""Loop iterated 3 times"". Can see: current_post advancing -1 → 0 → 1 → 2. Can see: $post->post_title for each iteration.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (update Stage 5)

**Dependencies:**
WP4BD-006

**Test:**
Debug output shows loop iterations with correct post titles",Epic 3: WordPress Integration
WP4BD-008: Create Mock wpdb Class,Story,KAN,High,"database-isolation,epic-4",2h,"Prevent WordPress from accessing the database.

**Acceptance Criteria:**
- Create themes/wp/wp-content/db.php
- Implement wpdb class with all query methods
- All methods return empty results
- Log any query attempts (for debugging)
- Set required properties ($prefix, table names)

**Expected State After:**
WordPress can't query database. No SQL errors. WordPress uses pre-populated data only.

**Files Modified:**
- themes/wp/wp-content/db.php (new)

**Dependencies:**
WP4BD-006

**Test:**
WordPress theme runs without database connection",Epic 4: Database Isolation
WP4BD-009: Load Theme functions.php,Story,KAN,Medium,"theme-rendering,epic-5",1h,"Load WordPress theme's functions.php and let it register hooks.

**Acceptance Criteria:**
- Determine active theme from config
- Load theme's functions.php
- Fire after_setup_theme action
- Fire wp_enqueue_scripts action
- Log what hooks were registered
- Handle errors in functions.php

**Expected State After:**
Theme's functions.php executes. Debug shows hooks registered. No fatal errors.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (new Stage 6)

**Dependencies:**
WP4BD-007

**Test:**
Debug shows theme support added (post-thumbnails, etc.)",Epic 5: Theme Rendering
WP4BD-010: Determine Template File,Story,KAN,Medium,"theme-rendering,epic-5",1h,"Use WordPress template hierarchy to find correct template file.

**Acceptance Criteria:**
- Check conditionals (is_home, is_single, etc.)
- Build template hierarchy (index.php, home.php, etc.)
- Find first existing template file
- Log template path
- Handle missing templates

**Expected State After:**
Debug shows: ""Using template: index.php"". Path is correct for active theme.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (new Stage 7)

**Dependencies:**
WP4BD-009

**Test:**
Debug shows correct template file path",Epic 5: Theme Rendering
WP4BD-011: Execute Template (Captured),Story,KAN,Medium,"theme-rendering,epic-5",2h,"Execute WordPress template and capture output (don't display yet).

**Acceptance Criteria:**
- Use ob_start() to capture output
- Include template file
- Capture with ob_get_clean()
- Log HTML size (character count)
- Don't display HTML yet
- Handle template errors

**Expected State After:**
Debug shows: ""Captured 12,450 characters of HTML"". Can see HTML exists but not displayed. No fatal errors.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (new Stage 8)

**Dependencies:**
WP4BD-010

**Test:**
Debug shows HTML was generated (character count > 0)",Epic 5: Theme Rendering
WP4BD-012: Inject Backdrop Assets,Story,KAN,Medium,"output-integration,epic-6",1h,"Insert Backdrop's CSS, JS, and admin toolbar into WordPress HTML.

**Acceptance Criteria:**
- Get Backdrop CSS with backdrop_get_css()
- Get Backdrop JS with backdrop_get_js()
- Inject before </head> tag
- Inject footer JS before </body> tag
- Add Backdrop body classes
- Log injection points

**Expected State After:**
Debug shows: ""Injected Backdrop assets at 2 points"". HTML contains Backdrop's CSS and JS.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (new Stage 9)

**Dependencies:**
WP4BD-011

**Test:**
Search HTML for ""backdrop.css"" - should be present",Epic 6: Output Integration
WP4BD-013: Display Output (Toggle),Story,KAN,Medium,"output-integration,epic-6",30m,"Add toggle to show rendered HTML alongside debug output.

**Acceptance Criteria:**
- Add ?wp4bd_show_output=1 URL parameter
- Display HTML in iframe or div when enabled
- Keep debug output visible
- Add toggle link in debug UI

**Expected State After:**
Can see debug output AND rendered page. Can toggle between modes.

**Files Modified:**
- themes/wp/templates/page-debug.tpl.php (update)

**Dependencies:**
WP4BD-012

**Test:**
Visit ?wp4bd_debug=2&wp4bd_show_output=1 to see both",Epic 6: Output Integration
WP4BD-014: Override Image Functions,Story,KAN,High,"function-overrides,epic-7",3h,"Override WordPress image functions to fetch from Backdrop.

**Acceptance Criteria:**
- has_post_thumbnail() - Check node->field_image
- get_the_post_thumbnail() - Render Backdrop image
- get_post_thumbnail_id() - Return file ID
- Map WordPress image sizes to Backdrop styles
- Handle missing images gracefully

**Expected State After:**
WordPress themes can display featured images. Images come from Backdrop's field_image.

**Files Modified:**
- themes/wp/template.php (add override functions)

**Dependencies:**
WP4BD-008

**Test:**
Theme displays featured images from Backdrop nodes",Epic 7: Function Overrides
WP4BD-015: Override Metadata Functions,Story,KAN,High,"function-overrides,epic-7",2h,"Override WordPress metadata functions to fetch from Backdrop.

**Acceptance Criteria:**
- get_post_meta() - Map to Backdrop fields
- update_post_meta() - Prevent writes (read-only)
- Common meta key mappings (_thumbnail_id, etc.)
- Handle missing fields

**Expected State After:**
WordPress can read custom field data. Data comes from Backdrop node fields.

**Files Modified:**
- themes/wp/template.php (add override functions)

**Dependencies:**
WP4BD-008

**Test:**
get_post_meta($post_id, 'custom_field') returns Backdrop field value",Epic 7: Function Overrides
WP4BD-016: Override Taxonomy Functions,Story,KAN,Medium,"function-overrides,epic-7",2h,"Override WordPress taxonomy functions to fetch from Backdrop.

**Acceptance Criteria:**
- get_the_category() - Return Backdrop taxonomy terms
- get_the_tags() - Return Backdrop tags
- Convert Backdrop terms to WordPress objects
- Handle missing terms

**Expected State After:**
WordPress themes can display categories/tags. Data comes from Backdrop taxonomy.

**Files Modified:**
- themes/wp/template.php (add override functions)

**Dependencies:**
WP4BD-008

**Test:**
Theme displays categories from Backdrop",Epic 7: Function Overrides
WP4BD-017: Create Production Template,Story,KAN,Medium,"production-ready,epic-8",1h,"Copy debug template to production version with debug hidden by default.

**Acceptance Criteria:**
- Copy to page.tpl.php
- Debug hidden unless ?wp4bd_debug=N
- Display rendered output by default
- Clean up debug code
- Add error handling

**Expected State After:**
Site displays WordPress theme output. Debug available when needed. Production-ready code.

**Files Modified:**
- themes/wp/templates/page.tpl.php (update)

**Dependencies:**
WP4BD-013

**Test:**
Visit site - see rendered theme, no debug output",Epic 8: Production Ready
WP4BD-018: Performance Optimization,Story,KAN,Low,"production-ready,epic-8",3h,"Add caching and optimize file loading.

**Acceptance Criteria:**
- Cache transformed WP_Post objects
- Cache rendered HTML output
- Lazy-load WordPress files
- Add opcode cache hints
- Benchmark before/after

**Expected State After:**
Page load < 500ms (after first load). Opcode cache reduces WordPress file load time.

**Files Modified:**
- Various (optimization)

**Dependencies:**
WP4BD-017

**Test:**
Benchmark shows improvement",Epic 8: Production Ready
WP4BD-019: Error Handling,Story,KAN,Medium,"production-ready,epic-8",2h,"Add comprehensive error handling and fallbacks.

**Acceptance Criteria:**
- Try/catch around template execution
- Fallback to Backdrop rendering on error
- Log errors to watchdog
- User-friendly error messages
- Don't expose internals in errors

**Expected State After:**
Errors don't crash the site. Fallback rendering works. Errors logged for debugging.

**Files Modified:**
- themes/wp/templates/page.tpl.php (add error handling)

**Dependencies:**
WP4BD-017

**Test:**
Break template - site falls back gracefully",Epic 8: Production Ready
WP4BD-020: Documentation,Story,KAN,Low,"production-ready,epic-8",2h,"Document the completed system.

**Acceptance Criteria:**
- README with installation steps
- Configuration guide
- Troubleshooting guide
- Function override examples
- Migration guide (4-region → 1-region)

**Expected State After:**
Users can install and configure. Developers can extend system.

**Files Modified:**
- Various documentation

**Dependencies:**
WP4BD-019

**Test:**
Follow README - system works",Epic 8: Production Ready
